Retrieved by E4-util: 2009/01/20,13:58:34                            1 0  0    0
 2.004000+3 3.968219+0          0          0          0          0 228 1451    1
 0.000000+0 0.000000+0          0          0          0          6 228 1451    2
 1.000000+0 2.000000+7          8          0         10          7 228 1451    3
 0.000000+0 0.000000+0          0          0         93          5 228 1451    4
  2-He-  4 LANL       EVAL-OCT73 Nisley,Hale,Young                 228 1451    5
 NO PUBLICATION       DIST-DEC06                                   228 1451    6
----ENDF/B-VII        MATERIAL  228                                228 1451    7
-----INCIDENT NEUTRON DATA                                         228 1451    8
------ENDF-6 FORMAT                                                228 1451    9
                                                                   228 1451   10
 ****************************************************************  228 1451   11
                                                                   228 1451   12
 ENDF/B-VII  CONVERTED FROM ENDF/B-VI BY NNDC OCT 2004             228 1451   13
                                                                   228 1451   14
 ****************************************************************  228 1451   15
                                                                   228 1451   16
 ENDF/B-VI MOD1 Revision, January 2001, P.G. Young and             228 1451   17
                S.C. Frankle (LANL)                                228 1451   18
                                                                   228 1451   19
    The atomic weight ratio was corrected - changed from 4.0015    228 1451   20
 to 3.968219.                                                      228 1451   21
                                                                   228 1451   22
 ****************************************************************  228 1451   23
                                                                   228 1451   24
 ENDF/B-VI MOD 0, January 1990, NNDC                               228 1451   25
                                                                   228 1451   26
 ENDF/B-V Material 1270 converted to ENDF-6 format by NNDC         228 1451   27
                                                                   228 1451   28
 ***************************************************************** 228 1451   29
                                                                   228 1451   30
 ENDF/B-V Evaluation, October 1973, R.A. Nisley, G.M. Hale,        228 1451   31
                      P.G. Young (LANL)                            228 1451   32
                                                                   228 1451   33
 MF=3 ------------ SMOOTH CROSS SECTIONS ------------------------  228 1451   34
                                                                   228 1451   35
         THE 2200 M/S CROSS SECTIONS ARE AS FOLLOWS,               228 1451   36
             MT=1   SIGMA= 0.75916 BARNS                           228 1451   37
             MT=2   SIGMA= 0.75916 BARNS                           228 1451   38
                                                                   228 1451   39
   MT=1       TOTAL CROSS SECTION                                  228 1451   40
         SEE DISCUSSION UNDER MT=2 BELOW                           228 1451   41
                                                                   228 1451   42
   MT=2       ELASTIC SCATTERING CROSS SECTION                     228 1451   43
         ALTHOUGH THE ONLY REACTION POSSIBLE FOR NEUTRONS INCIDENT 228 1451   44
       ON HE-4 BELOW 20 MEV IS ELASTIC SCATTERING, THE MAJORITY    228 1451   45
       OF THE N-4HE DATA IS RATHER IMPRECISE.  IN ORDER TO OVER-   228 1451   46
       COME THIS PROBLEM, AN R-MATRIX ANALYSIS WAS PERFORMED WITH  228 1451   47
       A DATA SET WHICH INCLUDED NOT ONLY THE N-4HE DATA BUT ALSO  228 1451   48
       VERY PRECISE P-4HE DATA.  ALL THE AVAILABLE N-4HE AND P-4HE 228 1451   49
       DATA BELOW 20 MEV WERE CONSIDERED IN THE ANALYSIS.  SINCE   228 1451   50
       THE PREVIOUS EVALUATION WAS COMPLETED IN 1968, SEVERAL      228 1451   51
       N-4HE ELASTIC SCATTERING MEASUREMENTS HAVE BEEN DONE.  THE  228 1451   52
       MOST SIGNIFICANT OF THESE ARE THE LOW ENERGY NEUTRON CROSS  228 1451   53
       SECTION OF RORER (RO69),THE RPI TOTAL CROSS SECTION         228 1451   54
       MEASUREMENT (GO73), WHICH COVER THE RANGE EN=0.7-30 MEV,    228 1451   55
       AND THE RELATIVE ANGULAR DISTRIBUTIONS OF MORGAN (MO68).    228 1451   56
       A COMPLETE LIST OF REFERENCES FOR THE N-4HE DATA USED IS    228 1451   57
       GIVEN BELOW.  THE P-4HE DATA WAS SELECTED TO SATISFY VERY   228 1451   58
       STRINGENT STATISTICAL CRITERIA AND WE BELIEVE THE POSSIBLE  228 1451   59
       ERRORS OF THE PREDICTED VALUES FOR THE P-4HE SCATTERING     228 1451   60
       TO BE LESS THAN 1.0 PER CENT.  A SIMPLE MODEL FOR THE       228 1451   61
       CHARGE DIFFERENCES BETWEEN THE N-4HE AND P-4HE SYSTEMS      228 1451   62
       WAS ASSUMED AND THE N-4HE AND P-4HE DATA SETS WERE          228 1451   63
       SIMULTANEOUSLY ANALYZED.  THE VALUES OF THE CROSS SECTIONS  228 1451   64
       AND ANGULAR DISTRIBUTIONS CONTAINED IN FILES 3 AND 4 ARE    228 1451   65
       PROBABLY ACCURATE TO WITHIN 2.0 PERCENT.                    228 1451   66
                                                                   228 1451   67
 MF=4 ------------- NEUTRON ANGULAR DISTRIBUTIONS ---------------  228 1451   68
                                                                   228 1451   69
   MT=2       ELASTIC SCATTERING ANGULAR DISTRIBUTIONS             228 1451   70
         OBTAINED FROM THE R-MATRIX ANALYSIS DESCRIBED ABOVE       228 1451   71
       UNDER MF=3,MT=2.  LEGENDRE POLYNOMIAL REPRESENTATION USED.  228 1451   72
                                                                   228 1451   73
 ----------------------- REFERENCES------------------------------  228 1451   74
                                                                   228 1451   75
 AU62   S.M.AUSTIN ET AL., PHYS.REV. 126(1962) 1532.               228 1451   76
 BR72   W.B.BROSTE ET AL., PHYS.REV. C5(1972) 761.                 228 1451   77
 BU66   F.W.BUSSER ET AL., NUCL.PHYS. 88(1966) 593.                228 1451   78
 CR72   D.S.CRAMER + L.CRANBERG, NUCL.PHYS. A180(1972) 273.        228 1451   79
 FA63   U.FASOLI + G.ZAGO, NUOVO CIMENTO 30(1963) 1169.            228 1451   80
 GO73   C.A.GOULDING ET AL., BULL.AM.PHYS.SOC. 18(1973) 538.       228 1451   81
 HO66   B.HOOP,JR. + H.H.BARSCHALL, NUCL.PHYS. 83(1966) 65.        228 1451   82
 JE66   R.W.JEWELL ET AL., PHYS.REV. 142(1966) 687.                228 1451   83
 MA63   T.H.MAY ET AL., NUCL.PHYS. 45(1963) 17.(REV. MO68 + SA68)  228 1451   84
 MO68   G.L.MORGAN + R.L.WALTER, PHYS.REV. 168(1968) 1114.         228 1451   85
 NI71   A.NIILER ET AL., PHYS.REV. C4(1971) 36. (REV. 9/72)        228 1451   86
 RO69   D.C.RORER ET AL., NUCL.PHYS. 133(1969) 410.                228 1451   87
 SA68   J.R.SAWERS ET AL., PHYS.REV. 168(1968) 1102.               228 1451   88
 SE53   J.D.SEAGRAVE, PHYS.REV. 92(1953) 1222.                     228 1451   89
 SH55   D.F.SHAW, PROC.PHYS.SOC.(LONDON) 68(1955) 43.              228 1451   90
 SH64   R.E.SHAMU + J.G.JENKIN, PHYS.REV. 135(1964) B99.           228 1451   91
 SM54   J.R.SMITH, PHYS.REV. 95(1954) 730.                         228 1451   92
 ST70   T.STAMMBACH ET AL., PHYS.REV. C2(1970) 434.                228 1451   93
 WH57   R.E.WHITE + F.J.M.FARLEY, NUCL.PHYS. 3(1957) 476.          228 1451   94
 YO63   P.G.YOUNG ET AL., AUST.J.PHYS. 16(1963) 185.               228 1451   95
                                                                   228 1451   96
 ************************ C O N T E N T S ************************ 228 1451   97
                                1        451        102          0 228 1451   98
                                2        151          4          0 228 1451   99
                                3          1         89          0 228 1451  100
                                3          2         89          0 228 1451  101
                                4          2         96          0 228 1451  102
 0.000000+0 0.000000+0          0          0          0          0 228 1  099999
 0.000000+0 0.000000+0          0          0          0          0 228 0  0    0
 2.004000+3 3.968219+0          0          0          1          0 228 2151    1
 2.004000+3 1.000000+0          0          0          1          0 228 2151    2
 1.000000-5 1.000000+5          0          0          0          0 228 2151    3
 0.000000+0 2.457900-1          0          0          0          0 228 2151    4
 0.000000+0 0.000000+0          0          0          0          0 228 2  099999
 0.000000+0 0.000000+0          0          0          0          0 228 0  0    0
 2.004000+3 3.968219+0          0          0          0          0 228 3  1    1
 0.000000+0 0.000000+0          0          0          1        257 228 3  1    2
        257          2                                             228 3  1    3
 1.000000-5 7.591600-1 2.530000-2 7.591600-1 1.000000+0 7.591600-1 228 3  1    4
 1.000000+1 7.591600-1 1.000000+2 7.591600-1 1.000000+3 7.591100-1 228 3  1    5
 5.000000+3 7.589100-1 1.000000+4 7.587200-1 2.000000+4 7.584900-1 228 3  1    6
 4.000000+4 7.587500-1 6.000000+4 7.600300-1 8.000000+4 7.624300-1 228 3  1    7
 1.000000+5 7.660900-1 1.500000+5 7.815800-1 2.000000+5 8.081700-1 228 3  1    8
 2.500000+5 8.489900-1 3.000000+5 9.080800-1 3.500000+5 9.905900-1 228 3  1    9
 4.000000+5 1.103000+0 4.500000+5 1.253600+0 5.000000+5 1.452500+0 228 3  1   10
 5.500000+5 1.711400+0 6.000000+5 2.043800+0 6.250000+5 2.241800+0 228 3  1   11
 6.500000+5 2.463000+0 6.750000+5 2.708700+0 7.000000+5 2.979500+0 228 3  1   12
 7.250000+5 3.275500+0 7.500000+5 3.595800+0 7.750000+5 3.938600+0 228 3  1   13
 8.000000+5 4.300600+0 8.250000+5 4.677000+0 8.500000+5 5.061600+0 228 3  1   14
 8.750000+5 5.446900+0 9.000000+5 5.824100+0 9.250000+5 6.184200+0 228 3  1   15
 9.500000+5 6.518000+0 9.750000+5 6.817300+0 1.000000+6 7.075200+0 228 3  1   16
 1.025000+6 7.286700+0 1.050000+6 7.449400+0 1.075000+6 7.562700+0 228 3  1   17
 1.100000+6 7.628500+0 1.125000+6 7.650100+0 1.150000+6 7.632100+0 228 3  1   18
