Retrieved by E4-util: 2009/01/20,14:02:56                            1 0  0    0
 9.424000+4 2.379920+2          1          1          0          09440 1451    1
 0.000000+0 1.000000+0          0          0          0          69440 1451    2
 1.000000+0 2.000000+7          2          0         10          79440 1451    3
 0.000000+0 0.000000+0          0          0        150         859440 1451    4
 94-Pu-240 ORNL       EVAL-AUG86 L.W. Weston and E. D. Arthur     9440 1451    5
                      DIST-DEC06                                  9440 1451    6
----ENDF/B-VII        MATERIAL 9440                               9440 1451    7
-----INCIDENT NEUTRON DATA                                        9440 1451    8
------ENDF-6 FORMAT                                               9440 1451    9
                                                                  9440 1451   10
 **************************************************************** 9440 1451   11
                                                                  9440 1451   12
 ENDF/B-VII  CONVERTED FROM ENDF/B-VI BY NNDC  OCT 2004           9440 1451   13
                                                                  9440 1451   14
 **************************************************************** 9440 1451   15
                                                                  9440 1451   16
                       ENDF/B-VI REVISION 2                       9440 1451   17
 ADDED MISSING FISSION NEUTRON ANGULAR DISTRIBUTION MF=4 MT=19    9440 1451   18
   MT=20 AND MT=21 ASSUMED TO BE ISOTROPIC                        9440 1451   19
                                                                  9440 1451   20
 CORRECT U VALUE FOR MF=5, MT=20                                  9440 1451   21
                                                                  9440 1451   22
 FIX INCORRECT NER VALUE IN MF=32 MT=151                          9440 1451   23
******************************************************************9440 1451   24
 ONLY CHANGE FOR FIRST REVISION WAS DELETION OF MF=33, MT=18      9440 1451   25
 ENDF/B-V MATERIAL CONVERTED TO ENDF-6 FORMAT BY NNDC             9440 1451   26
 *         *          *          *          *          *         *9440 1451   27
 PU-240 REVISED FOR VERSION VI BY L. W. WESTON                    9440 1451   28
  MF=1,MT=452 DELAYED NUBAR UNCHANGED FROM VERSION IV, REF 1,2,3. 9440 1451   29
              PROMPT RATIOS TO CF FROM FREHAUT,REF.4.  SAME AS    9440 1451   30
              VERSION V.  NUBAR PROMPT OF CF ASSUMED AS 3.741.    9440 1451   31
  MF=1,MT=456 SEE MT=452                                          9440 1451   32
  MF=1,MT=458 ENERGY RELEASE/FISSION SHER/83 REF.5                9440 1451   33
  MF=2,MT=151 RESOLVED REGION 0.0. TO 5.7 KEV. RESOLVED RESONANCE 9440 1451   34
              REGION EXTENDS TO ZERO ENERGY. ROOM TEMPERATURE     9440 1451   35
              CROSS SECTIONS AT 0.0253 EV ARE:                    9440 1451   36
                        TOTAL= 288.6 BARNS                        9440 1451   37
                   SCATTERING=  0.96 BARNS                        9440 1451   38
                      FISSION= 0.064 BARNS                        9440 1451   39
                      CAPTURE= 287.6 BARNS                        9440 1451   40
              RESONANCE AT 1.056 EV EVALUATED FROM REF 6,7,8. FROM9440 1451   41
              20 TO 665 EV NEUTRON AND RADIATION WIDTHS ARE       9440 1451   42
              WEIGHTED AVERAGES OF WEIGMANN ET AL,REF 9, MOXON,   9440 1451   43
              REF 10, AND HOCKENBURY,REF 11, TAKEN FROM WEIGMANN  9440 1451   44
              REVIEW,REF 9 AND UNCHANGED FROM VERSION V.          9440 1451   45
              NEUTRON WIDTHS ABOVE 665 EV FROM REF 9 AND          9440 1451   46
              EXTENDED TO 5.7 KEV FOR VERSION VI.                 9440 1451   47
              FISSION WIDTHS REVISED OVER FULL ENERGY REGION.     9440 1451   48
              TAKEN FROM WESTON, REF 12, OR MIGNECO, REF 13, OR   9440 1451   49
              AUCHAMPAUGH,REF 14, OR WEIGHTED AVERAGE OF VALUES.  9440 1451   50
              UNRESOLVED REGION 5.70 TO 40 KEV. PARAMETERS FROM   9440 1451   51
              FITACS, REF 15, AND UR, REF 16, FITS TO HOCKENBURY, 9440 1451   52
              REF 11, WESTON, REF 17, AND WISSHAK, REF 18,        9440 1451   53
              ON AVERAGE CAPTURE.                                 9440 1451   54
  MF=3,MT=1   BACKGROUND 2680-5700 EV DUE TO MISSED RESONANCES.   9440 1451   55
              FITACS FIT TO GWIN, REF 19, AND POENITZ, REF 20,    9440 1451   56
              FROM 5.7 TO 500 KEV.  ABOVE 500 KEV FROM LAGRANGE,  9440 1451   57
              REF. 21.                                            9440 1451   58
  MF3,MT=2    DIFFERENCE BETWEEN MT=1 AND SUM OF OTHER XSECTIONS. 9440 1451   59
  MF=3,MT=4,51-59,91 INELASTIC SCATTERING ARE MODEL CALCULATIONS  9440 1451   60
              OF LAGRANGE AND JARY, REF 21, WHICH WERE ADAPTED    9440 1451   61
